"index","id","name","primaryMuscle","inferredMuscle","bodyPart","equipment","imageTarget","videoTarget","duplicateCount","quality","flags"
"1","alternate_lateral_pulldown","Alternate Lateral Pulldown","Back","Back","Back","Cable","Back","","1","44","missing_video"
"2","archer_pull_up","Archer Pull up","Back","Back","Back","Body weight","Back","Back","1","74",""
"3","assisted_chin_up","Assisted Chin-up","Back","Back","Back","Body weight","Back","","1","44","missing_video"
"4","assisted_close_grip_underhand_chin_up_assisted_close_grip_underhand_chin_up_762","Assisted Close-grip Underhand Chin-up","Back","Back","Back","Leverage machine","Back","","1","44","missing_video"
"5","assisted_pull_up","Assisted Pull up","Back","Back","Back","Leverage machine","Back","","2","44","missing_video;duplicate_group"
"6","assisted_pull_up_assisted_pull_up_69x","Assisted Pull-up","Back","Back","Back","Leverage machine","Back","","2","44","missing_video;duplicate_group"
"7","assisted_standing_chin_up","Assisted Standing Chin-Up","Back","Back","Back","Leverage machine","Back","","1","44","missing_video"
"8","assisted_standing_pull_up","Assisted Standing Pull-up","Back","Back","Back","Leverage machine","Back","","1","44","missing_video"
"9","back_and_forth_step","Back And Forth Step","Back","Back","Cardio","Body weight","Back","","1","44","missing_video"
"10","back_lever","Back lever","Back","Back","Back","Body weight","Back","Back","1","74",""
"11","back_relaxation","Back Relaxation","Back","Back","Back","Stability ball","Back","","1","44","missing_video"
"12","back_relaxed_pose","Back relaxed pose","Back","Back","","Body weight","","","1","24","missing_image;missing_video"
"13","back_slaps_wrap_arround_stretch","Back Slaps Wrap Arround Stretch","Back","Back","Back","Body weight","Back","Back","1","74",""
"14","back_stretch","Back Stretch","Back","Back","Back","Body weight","Back","","1","44","missing_video"
"15","backhand_raise","Backhand Raise","Back","Back","Back","Body weight","Back","Back","1","74",""
"16","backwards_run","Backwards Run","Back","Back","Cardio","Body weight","","","1","44","missing_video"
"17","band_assisted_chin_up","Band Assisted Chin-Up","Back","Back","Back","Band","Back","Back","2","74","duplicate_group"
"18","band_assisted_chin_up_band_assisted_chin_up_9nb","Band Assisted Chin-Up","Back","Back","Back","Band","Back","","2","44","missing_video;duplicate_group"
"19","band_assisted_pull_up","Band Assisted Pull Up","Back","Back","Back","Band","Back","Back","3","74","duplicate_group"
"20","band_assisted_pull_up_band_assisted_pull_up_6a4","Band assisted pull-up","Back","Back","Back","Band","Back","","3","44","missing_video;duplicate_group"
"21","band_assisted_pull_up_band_assisted_pull_up_84s","Band Assisted Pull-Up","Back","Back","Back","Band","Back","Back","3","74","duplicate_group"
"22","band_bent_over_lat_pulldown","Band Bent Over Lat Pulldown","Back","Back","Back","Band","","Back","1","54","missing_image"
"23","band_bent_over_row_band_bent_over_row_8d2","Band Bent Over row","Back","Back","Back","Band","Back","Back","2","74","duplicate_group"
"24","band_bent_over_wide_grip_row","Band Bent Over Wide Grip Row","Back","Back","Back","Band","Back","","1","44","missing_video"
"25","band_bent_over_row","Band bent-over row","Back","Back","Back","Band","Back","Back","2","74","duplicate_group"
"26","band_close_grip_pulldown","Band close-grip pulldown","Back","Back","Back","Band","Back","","1","44","missing_video"
"27","band_fixed_back_underhand_pulldown","Band Fixed Back Underhand Pulldown","Back","Back","Back","Band","Back","","1","44","missing_video"
"28","band_kneeling_lat_pulldown","Band Kneeling Lat Pulldown","Back","Back","Back","Band","Back","Back","1","74",""
"29","band_kneeling_one_arm_pulldown_band_kneeling_one_arm_pulldown_6ar","Band kneeling one arm pulldown","Back","Back","Back","Band","Back","Back","2","74","duplicate_group"
"30","band_kneeling_one_arm_pulldown","Band Kneeling One Arm Pulldown","Back","Back","Back","Band","Back","Back","2","74","duplicate_group"
"31","band_kneeling_pulldown","Band kneeling pulldown","Back","Back","Back","Band","Back","","1","44","missing_video"
"32","band_narrow_grip_high_row_band_narrow_grip_high_row_99z","Band Narrow Grip High Row","Back","Back","Back","Band","","Back","2","54","missing_image;duplicate_group"
"33","band_narrow_grip_high_row","Band Narrow Grip High Row","Back","Back","Back","Band","","Back","2","54","missing_image;duplicate_group"
"34","band_one_arm_standing_low_row","Band one arm Standing Low Row","Back","Back","Back","Band","Back","","1","44","missing_video"
"35","band_one_arm_standing_wide_grip_low_row","Band One Arm Standing Wide Grip Low Row","Back","Back","Back","Band","Back","","1","44","missing_video"
"36","band_resisted_chin_up","Band Resisted Chin-Up","Back","Back","Back","Band","Back","","1","44","missing_video"
"37","band_seated_row_band_seated_row_8d9","Band seated row","Back","Back","Back","Band","Back","Back","2","74","duplicate_group"
"38","band_seated_row","Band seated row","Back","Back","Back","Band","Back","Back","2","74","duplicate_group"
"39","band_seated_straight_back_row","Band Seated Straight Back Row","Back","Back","Back","Band","Back","","1","44","missing_video"
"40","band_seated_wide_grip_row","Band Seated Wide Grip Row","Back","Back","Back","Band","Back","","1","44","missing_video"
"41","band_shrug","Band shrug","Back","Back","Back","Band","Back","Back","1","74",""
"42","band_skier","Band Skier","Back","Custom","Back","Band","","","1","44","missing_video"
"43","band_standing_single_arm_row","Band Standing Single Arm Row","Back","Back","Back","Band","Back","","1","44","missing_video"
"44","band_standing_straight_arm_pulldown","Band Standing Straight Arm Pulldown","Back","Back","Back","Band","Back","","1","44","missing_video"
"45","band_straight_back_seated_row","Band straight back seated row","Back","Back","Back","Band","Back","Back","2","74","duplicate_group"
"46","band_straight_arm_pulldown","Band straight-arm pulldown","Back","Back","Back","Band","Back","","1","44","missing_video"
"47","band_straight_back_seated_row_band_straight_back_seated_row_6z9","Band straight-back seated row","Back","Back","Back","Band","Back","Back","2","74","duplicate_group"
"48","band_straight_back_standing_row","Band straight-back standing row","Back","Back","Back","Band","Back","","1","44","missing_video"
"49","band_underhand_pulldown","Band underhand pulldown","Back","Back","Back","Band","Back","","1","44","missing_video"
